epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,4710.09,0.42922,0.86653,1,0.31986,0.001981,0.001981,0.001981
83,4750.59,0.43512,0.8611,1,0.32485,0.001882,0.001882,0.001882
84,4787.89,0.42921,0.8611,1,0.32459,0.001783,0.001783,0.001783
85,4828.59,0.42869,0.86258,1,0.32205,0.001684,0.001684,0.001684
86,4869.93,0.42338,0.86703,1,0.32312,0.001585,0.001585,0.001585
87,4914.46,0.41581,0.86209,1,0.31873,0.001486,0.001486,0.001486
88,4959.38,0.41223,0.86604,1,0.31921,0.001387,0.001387,0.001387
89,5006.37,0.4255,0.86604,1,0.31761,0.001288,0.001288,0.001288
90,5055.46,0.40329,0.86604,1,0.3161,0.001189,0.001189,0.001189
91,5188.4,0.42315,0.86505,1,0.32258,0.00109,0.00109,0.00109
92,5229.76,0.40584,0.86802,1,0.31422,0.000991,0.000991,0.000991
93,5277.87,0.40329,0.86307,1,0.313,0.000892,0.000892,0.000892
94,5316.08,0.39911,0.86555,1,0.3132,0.000793,0.000793,0.000793
95,5355.47,0.396,0.86307,1,0.31193,0.000694,0.000694,0.000694
96,5393.44,0.39444,0.86307,1,0.31193,0.000595,0.000595,0.000595
97,5431.23,0.39688,0.86456,1,0.30982,0.000496,0.000496,0.000496
98,5474.83,0.39346,0.86752,1,0.31292,0.000397,0.000397,0.000397
99,5520.73,0.38194,0.86703,1,0.30515,0.000298,0.000298,0.000298
100,5576.79,0.38522,0.86752,1,0.3044,0.000199,0.000199,0.000199
